	Track	Track_Popularity	Artist_Popularity
599	Snoopy Vs. The Red Baron	35	36
600	Society's Child	6	46
601	Girl, You'll Be a Woman Soon	55	69
602	I Take It Back	21	27
603	Here Comes My Baby	44	44
604	Everlasting Love	15	20
605	I Dig Rock and Roll Music	30	55
606	I Had Too Much to Dream (Last Night)	47	39
607	Daydream Believer	65	64
608	Baby I Need Your Lovin'	28	46
609	Mirage	25	49
610	Green, Green Grass of Home	54	63
611	I Can See for Miles	53	72
612	Thank the Lord for the Night Time	32	69
613	Hey Jude	76	88
614	Love is Blue	49	51
615	Honey	53	47
616	(Sittin' On) The Dock of the Bay	69	71
617	People Got to Be Free	42	48
618	Sunshine of Your Love	70	66
619	This Guy's in Love With You	52	51
620	The Good, the Bad and the Ugly	40	32
621	Mrs. Robinson	73	74
622	Tighten Up	46	45
623	Harper Valley PTA	12	39
624	Mony Mony	53	49
625	Hello, I Love You	61	76
626	Young Girl	58	52
627	Cry Like a Baby	38	51
628	Stoned Soul Picnic	32	50
629	Grazing in the Grass	35	43
630	Midnight Confessions	36	56
631	Dance to the Music	59	63
632	The Horse	33	25
633	I Wish It Would Rain	47	70
634	La-La (Means I Love You)	54	54
635	Turn Around, Look at Me	36	40
636	Judy in Disguise (With Glasses)	34	31
637	Spooky	53	43
638	Love Child	45	67
639	Angel of the Morning	39	26
640	The Ballad of Bonnie and Clyde	31	36
641	Those Were the Days	42	39
642	Born to Be Wild	65	65
643	Cowboys to Girls	47	43
644	Simon Says	32	29
645	Lady Willpower	53	52
646	A Beautiful Morning	47	48
647	The Look of Love	20	56
648	Hold Me Tight	30	55
649	Yummy Yummy Yummy	36	33
650	Fire	37	28
651	Love Is All Around	35	50
652	Playboy	11	5
653	(Theme from) Valley of the Dolls	36	63
654	Classical Gas	43	37
655	Slip Away	55	50
656	Girl Watcher	20	15
657	(Sweet Sweet Baby) Since You've Been Gone	47	75
658	Green Tambourine	43	34
659	1, 2, 3, Red Light	16	29
660	Reach out of the Darkness	32	22
661	Jumpin' Jack Flash	29	81
662	MacArthur Park	34	28
663	Light My Fire	45	65
664	I Love You	21	77
665	Take Time to Know Her	33	58
666	Pictures of Matchstick Men	51	61
667	Summertime Blues	34	36
668	I Got the Feelin'	45	67
669	I've Gotta Get a Message to You	1	0
670	Lady Madonna	60	88
671	Hurdy Gurdy Man	60	61
672	Magic Carpet Ride	66	65
673	Bottle of Wine	30	34
674	Stay in My Corner	39	44
675	Soul Serenade	17	43
676	Delilah	56	63
677	Nobody but Me	52	40
678	I Thank You	35	60
679	The Fool on the Hill	28	56
680	Sky Pilot	34	67
681	Indian Lake	31	40
682	Over You	42	52
683	Shoo-Be-Doo-Be-Doo-Da-Day	35	78
684	The Unicorn	33	52
685	You Keep Me Hangin' On	41	38
686	Revolution	66	88
687	Woman, Woman	53	52
688	Elenore	52	61
689	White Room	69	66
690	Baby, Now That I've Found You	38	61
691	Sweet Inspiration	31	27
692	If You Can Want	32	61
693	Cab Driver	29	46
694	Time Has Come Today	50	39
695	Do You Know the Way to San Jose	42	63
696	Scarborough Fair	56	74
697	Say It Loud – I'm Black and I'm Proud	28	67
698	The Mighty Quinn	48	58
699	Here Comes the Judge	12	32
700	I Say a Little Prayer	74	75
701	Think	66	75
702	Sealed with a Kiss	21	43
703	Piece of My Heart	66	58
704	Suzie Q.	53	78
705	Bend Me, Shape Me	39	32
706	Hey, Western Union Man	21	47
707	Never Give You Up	38	47
708	Sugar, Sugar	68	58
709	Aquarius/Let the Sunshine In	52	50
710	I Can't Get Next to You	53	70
711	Honky Tonk Women	30	81
712	Everyday People	65	63
713	Dizzy	41	43
714	Hot Fun in the Summertime	42	63
715	Build Me Up Buttercup	71	61
716	Crimson and Clover	54	49
717	One	53	60
718	Crystal Blue Persuasion	47	49
719	Hair	29	40
720	Too Busy Thinking About My Baby	42	75
721	Love Theme from Romeo and Juliet	32	55
722	Get Together	51	44
723	Grazing in the Grass	42	36
724	Suspicious Minds	70	79
725	Proud Mary	60	78
726	What Does It Take (To Win Your Love)	33	58
727	It's Your Thing	17	66
728	Sweet Caroline	69	69
729	Jean	27	64
730	Bad Moon Rising	69	78
731	In the Year 2525	49	39
732	Spinning Wheel	41	48
733	Baby, I Love You	30	40
734	Going in Circles	42	36
735	Hurt So Bad	27	43
736	Green River	59	78
737	My Cherie Amour	58	78
738	Easy to Be Hard	35	60
739	Baby It's You	64	90
740	In the Ghetto	60	79
741	A Boy Named Sue	61	78
742	Baby, Baby Don't Cry	33	61
743	Only the Strong Survive	28	47
744	Time of the Season	67	61
745	Wedding Bell Blues	45	50
746	Little Woman	19	26
747	Love (Can Make You Happy)	28	65
748	Good Morning Starshine	35	64
749	These Eyes	57	61
750	Put a Little Love in Your Heart	42	43
751	Do Your Thing	31	51
752	Touch Me	63	76
753	More Today Than Yesterday	45	32
754	Lay Lady Lay	59	76
755	Atlantis	47	61
756	Traces	37	43
757	This Magic Moment	42	55
758	Runaway Child, Running Wild	25	70
759	Hawaii Five-O	45	49
760	Galveston	47	62
761	Gitarzan	24	41
762	Can I Change My Mind	37	43
763	Time Is Tight	46	58
764	This Girl's in Love With You	38	63
765	Color Him Father	31	28
766	Black Pearl	28	15
767	Indian Giver	26	29
768	Mother Popcorn	39	67
769	Twenty-Five Miles	44	53
770	When I Die	16	14
771	The Worst That Could Happen	14	0
772	The Chokin' Kind	29	41
773	Smile a Little Smile for Me	0	0
774	Polk Salad Annie	45	53
775	Ruby, Don't Take Your Love to Town	23	38
776	Games People Play	38	33
777	You Showed Me	37	61
778	Tracy	0	0
779	Oh, What a Night	48	44
780	Something	67	88
781	This Girl Is a Woman Now	34	52
782	Come Together	77	88
783	Ramblin' Gamblin' Man	59	68
784	I Heard It Through the Grapevine	57	75
785	Gimme Gimme Good Lovin'	32	21
786	Hang 'Em High	26	58
787	Your Good Thing (Is About to End)	9	51
788	Baby, I'm for Real	44	44
789	Oh Happy Day	47	36
790	Love Me Tonight	30	63
791	Mr. Sun, Mr. Moon	43	45
792	Laughing	58	61
793	My Whole World Ended (The Moment You Left Me)	34	44
794	Soul Deep	34	51
795	Hooked on a Feeling	47	53
796	Sweet Cream Ladies	23	51
797	Let Me	12	45
798	"""Joy to the World"""	61	60
799	"""Maggie May""/""Reason to Believe"""	10	74
800	"""One Bad Apple"""	32	38
801	"""How Can You Mend a Broken Heart"""	55	76
802	"""Indian Reservation (The Lament of the Cherokee Reservation Indian)"""	44	45
803	"""Go Away Little Girl"""	26	61
804	"""Take Me Home, Country Roads"""	78	72
805	"""Just My Imagination (Running Away with Me)"""	61	70
806	"""Knock Three Times"""	49	45
807	"""Me and Bobby McGee"""	67	66
808	"""Tired of Being Alone"""	66	68
809	"""Want Ads"""	31	35
810	"""Smiling Faces Sometimes"""	54	44
811	"""Treat Her Like a Lady"""	42	44
812	"""Mr. Big Stuff"""	63	51
813	"""Brown Sugar"""	68	81
814	"""Do You Know What I Mean"""	41	30
815	"""The Night They Drove Old Dixie Down"""	51	56
