	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Duration_ms	Time_Signature
100	1962	Acker Bilk	Stranger on the Shore	0.313	0.329	3	-12.47	1	0.0334	0.825	0.888	0.0803	0.227	71.278	201456	4
101	1962	Ray Charles	I Can't Stop Loving You	0.312	0.332	5	-12.759	1	0.0337	0.677	0.0	0.379	0.399	78.824	253600	3
102	1962	Dee Dee Sharp	Mashed Potato Time	0.674	0.473	2	-7.193	1	0.0362	0.0705	4.79e-05	0.0593	0.847	125.046	150867	4
103	1962	Bobby Vinton	Roses Are Red (My Love)	0.515	0.218	5	-10.071	1	0.0287	0.828	0.0	0.302	0.534	102.997	158933	4
104	1962	David Rose	The Stripper	0.483	0.46	5	-10.055	1	0.0282	0.658	0.924	0.147	0.564	94.185	116733	4
105	1962	Shelley Fabares	Johnny Angel	0.369	0.385	0	-9.132	1	0.0282	0.872	0.0	0.279	0.735	108.025	139320	4
106	1962	Little Eva	The Loco-Motion	0.636	0.893	3	-6.311	1	0.047	0.674	0.00143	0.176	0.887	129.664	148627	4
107	1962	The Sensations	Let Me In	0.481	0.952	10	-3.16	1	0.114	0.751	2.02e-05	0.1	0.498	131.631	187413	4
108	1962	Chubby Checker	The Twist	0.533	0.638	4	-7.13	1	0.0341	0.202	0.0	0.0729	0.937	156.663	153760	4
109	1962	The Shirelles	Soldier Boy	0.569	0.198	10	-15.481	1	0.0265	0.754	0.0002	0.331	0.622	97.595	162013	4
110	1962	Bruce Channel	Hey! Baby	0.515	0.623	9	-5.597	1	0.036	0.359	0.0	0.274	0.643	64.253	143627	4
111	1962	Dion	The Wanderer	0.605	0.544	2	-11.37	1	0.0682	0.823	0.00579	0.338	0.797	115.779	163627	4
112	1962	Gene Chandler	Duke of Earl	0.584	0.281	5	-11.091	1	0.0318	0.832	0.0	0.298	0.473	104.872	147841	4
113	1962	Freddy Cannon	Palisades Park	0.283	0.831	1	-6.151	1	0.0612	0.347	0.0	0.11	0.874	82.128	113213	4
114	1962	Neil Sedaka	Breaking Up Is Hard to Do	0.743	0.799	8	-5.466	0	0.0375	0.699	0.0	0.0635	0.965	116.112	139200	4
115	1962	Claude King	Wolverton Mountain	0.629	0.335	9	-15.039	1	0.0499	0.806	1.21e-06	0.217	0.834	157.193	177573	4
116	1962	Chubby Checker & Dee Dee Sharp	Slow Twistin'	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
117	1962	Johnny Tillotson	It Keeps Right On a-Hurtin'	0.406	0.362	9	-9.507	1	0.0308	0.542	0.0	0.194	0.393	100.151	167667	4
118	1962	Mary Wells	The One Who Really Loves You	0.771	0.404	7	-13.531	1	0.0305	0.727	0.0	0.235	0.901	115.64	147467	4
119	1962	Elvis Presley	Good Luck Charm	0.635	0.352	11	-17.228	0	0.0426	0.803	0.00499	0.576	0.87	120.862	144627	4
120	1962	Kenny Ball	Midnight in Moscow	0.53	0.402	5	-14.117	0	0.0338	0.681	0.964	0.283	0.915	166.266	180013	4
121	1962	Tommy Roe	Sheila	0.374	0.494	4	-12.479	1	0.0754	0.166	0.000542	0.0919	0.695	136.796	125960	4
122	1962	Sam Cooke	Twistin' the Night Away	0.458	0.801	9	-7.83	1	0.0565	0.691	0.0	0.328	0.93	160.547	159853	4
123	1962	The Orlons	The Wah-Watusi	0.764	0.675	4	-6.084	0	0.0404	0.144	0.000493	0.0759	0.875	134.086	150240	4
124	1962	Joey Dee and the Starliters	Peppermint Twist	0.473	0.767	0	-9.68	1	0.194	0.239	0.0	0.166	0.949	202.513	115573	4
125	1962	Brenda Lee	Break It to Me Gently	0.539	0.26	0	-10.414	0	0.0268	0.588	0.0	0.134	0.492	92.032	164000	3
126	1962	The Marvelettes	Playboy	0.869	0.686	0	-5.526	1	0.0587	0.384	0.0	0.0669	0.937	123.808	164840	4
127	1962	Nat King Cole	Ramblin' Rose	0.431	0.379	9	-8.615	1	0.0267	0.794	0.0	0.303	0.31	97.061	167853	4
128	1962	Brian Hyland	Sealed with a Kiss	0.474	0.281	5	-11.437	0	0.0282	0.79	0.0	0.128	0.582	91.848	161133	4
129	1962	Jay and the Americans	She Cried	0.418	0.368	10	-10.726	0	0.0271	0.747	0.00115	0.124	0.552	99.952	157453	4
130	1962	Connie Francis	Don't Break the Heart That Loves You	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
131	1962	Gary U.S. Bonds	Dear Lady Twist	0.537	0.885	9	-7.156	0	0.245	0.622	0.0	0.755	0.951	138.95	152533	4
132	1962	Sue Thompson	Norman	0.713	0.523	9	-9.446	1	0.0323	0.817	1.18e-06	0.104	0.965	127.254	141027	4
133	1962	Ketty Lester	Love Letters	0.584	0.298	7	-14.282	0	0.0316	0.711	0.0498	0.174	0.341	124.834	163187	3
134	1962	Claudine Clark	Party Lights	0.645	0.6	0	-7.948	1	0.238	0.0661	0.0	0.101	0.701	135.593	143133	4
135	1962	The Highwaymen	Cotton Fields	0.48	0.237	0	-18.666	1	0.375	0.86	0.128	0.945	0.469	103.182	289228	4
136	1962	Bent Fabric	Alley Cat	0.693	0.173	0	-14.113	1	0.0296	0.652	0.195	0.129	0.406	107.404	153173	4
137	1962	The Isley Brothers	Twist and Shout	0.774	0.811	5	-6.526	1	0.0355	0.65	0.0	0.0736	0.963	123.351	155400	4
138	1962	Richard Chamberlain	Theme from Dr. Kildare (Three Stars Will Shine Tonight)	0.271	0.175	9	-14.515	1	0.0348	0.905	0.0	0.251	0.19	110.915	162960	1
