,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
83,2008,The Avett Brothers,"Black, Blue",0.514,0.22,11,-14.127,1,0.0356,0.94,0.000277,0.114,0.24,117.011,32,67,265360,3
84,2009,Erik Satie,Gnossienne: No. 2,0.337,0.0295,2,-26.308,0,0.0503,0.995,0.934,0.111,0.0387,69.188,46,67,100267,5
85,2008,El Trono de Mexico,Prometiste Volver,0.657,0.549,8,-6.324,1,0.0329,0.477,5.79e-06,0.103,0.928,124.378,40,60,185547,4
86,2015,Punch Brothers,Familiarity,0.429,0.337,10,-11.233,1,0.0432,0.795,0.00352,0.0727,0.215,138.755,40,55,622973,4
87,2006,Sufjan Stevens,O Holy Night,0.573,0.374,0,-10.145,1,0.0263,0.95,0.000756,0.0752,0.285,110.903,35,73,244187,1
88,2005,Pharrell Williams,Stay With Me - Album Version (Edited),0.671,0.617,9,-7.593,0,0.106,0.144,3.01e-06,0.176,0.476,92.993,23,82,246507,4
89,2011,Ed Sheeran,Little Bird,0.826,0.485,8,-7.424,1,0.0354,0.569,0.0,0.107,0.278,104.011,48,93,226067,4
90,2010,Tim McGraw,Grown Men Don't Cry,0.424,0.583,10,-6.68,1,0.0295,0.145,0.0,0.107,0.663,203.422,35,75,234467,4
91,2001,Creol,Moonflower (Carlos Santana),0.706,0.53,2,-12.439,0,0.0357,0.51,0.887,0.069,0.851,119.74,31,37,288467,4
92,2016,Sugar Candy Mountain,Summer of Our Discontent,0.509,0.55,8,-6.498,1,0.0278,0.24,0.0339,0.0811,0.532,136.219,45,49,216801,4
93,2011,Brian McKnight,All I Need Is You (Live),0.335,0.148,11,-14.749,1,0.0339,0.976,0.000711,0.175,0.0921,99.463,33,64,191280,1
94,2000,Michael W. Smith,Above All - Live,0.405,0.329,10,-10.064,1,0.0309,0.682,2.14e-06,0.541,0.168,66.601,46,63,263840,4
95,2014,Nicki Minaj,Wamables,0.934,0.28,10,-12.588,0,0.411,0.505,0.0,0.111,0.21,96.011,42,95,193480,4
96,2007,Martin O'Donnell,Greatest Journey,0.22,0.565,4,-13.719,0,0.0912,0.673,0.926,0.199,0.0388,91.794,37,60,292387,3
97,2001,Gary Allan,I Don't Look Back,0.472,0.868,2,-5.116,1,0.0636,0.107,0.000472,0.262,0.833,149.078,18,61,184867,4
98,2014,The Oh Hellos,"Mvmt I, ""Rejoice! Rejoice!""",0.38,0.242,6,-15.357,0,0.0312,0.899,0.343,0.13,0.156,72.952,42,60,397964,4
99,2002,Kidneythieves,Zerospace,0.554,0.849,1,-5.718,0,0.0902,0.00106,0.481,0.176,0.44,180.055,23,37,230400,4
